addon_key,addon_name,category,repo_count,best_repo_stars,freshness_max,opportunity_score,repos,description_source,description_confidence
equipviewer,Equipviewer,automation,2,99,1263,2.66,Icydeath/ffxi-addons; ProjectTako/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/equipviewer/equipviewer.lua,high
eradebuffed,Eradebuffed,combat_automation,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraDebuffed/EraDebuffed.lua,high
eradistanceplus,Eradistanceplus,general_qol,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraDistancePlus/EraDistancePlus.lua,high
erainfobar,Erainfobar,ui_gear,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraInfoBar/EraInfoBar.lua,high
erajobchange,Erajobchange,general_qol,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraJobChange/EraJobChange.lua,high
eramobdrops,Eramobdrops,general_qol,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraMobDrops/EraMobDrops.lua,high
eramoblevel,Eramoblevel,general_qol,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraMobLevel/EraMobLevel.lua,high
erapointwatch,Erapointwatch,general_qol,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraPointWatch/EraPointWatch.lua,high
erascoreboard,Erascoreboard,general_qol,1,12,797,3.78,DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons/blob/HEAD/EraScoreboard/EraScoreboard.lua,high
eschachest,Eschachest,general_qol,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/EschaChest/EschaChest.lua,high
eval,Eval,general_qol,3,69,1490,1.86,Icydeath/ffxi-addons; Lygre/addons; mverteuil/windower4-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/eval/readme.md,medium
exorcist,Exorcist,general_qol,1,22,3,4.83,iLVL-Key/FFXI,https://github.com/iLVL-Key/FFXI/blob/HEAD/addons/Exorcist/Exorcist.lua,high
export_items,Export Items,economy_inventory,1,69,1490,3.43,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
exportitems,export_items,general_qol,1,69,1490,4.0,Icydeath/ffxi-addons,https://github.com/Icydeath/ffxi-addons/blob/HEAD/README.md,medium
fancytrusts,Fancytrusts,general_qol,1,5,16,4.2,ariel-logos/FancyTrusts,https://github.com/ariel-logos/FancyTrusts/blob/HEAD/README.md,medium
fastcs,Fastcs,general_qol,4,99,1263,1.92,Icydeath/ffxi-addons; Lygre/addons; ProjectTako/ffxi-addons; mverteuil/windower4-addons,https://github.com/ProjectTako/ffxi-addons/blob/HEAD/fastcs/ashita/fastcs.lua,high
fastfollow,Fastfollow,general_qol,2,12,797,3.78,DiscipleOfEris/FastFollow; DiscipleOfEris/Windower4Addons,https://github.com/DiscipleOfEris/Windower4Addons,medium
fasttarget,Fasttarget,general_qol,1,0,8,4.2,LordAttilas/FastTarget,https://github.com/LordAttilas/FastTarget/blob/HEAD/README.md,medium
ffxi-balloon-ashitav4,Ffxi Balloon Ashitav4,utility,1,11,137,8.15,onimitch/ffxi-balloon-ashitav4,,low
ffxi-zonename,FFXI Zonename,travel_navigation,1,4,20,4.83,onimitch/ffxi-zonename,https://github.com/onimitch/ffxi-zonename/blob/HEAD/README.md,medium
